arabic,armenian,azerbaijani,basque,bengali,bosnian,bulgarian,catalan,cebuano,corsican,croatian,danish,esperanto,estonian,filipino,finnish,galician,georgian,german,greek,gujarati,haitian,hawaiian,hebrew,hmong,hungarian,icelandic,igbo,indonesian,irish,italian,japanese,javanese,kannada,kazakh,khmer,kurdish,kyrgyz,lao,latin,latvian,luxembourgish,macedonian,malagasy,malaysian,malayalam,maltese,maori,marathi,mongolian,nepali,pashto,persian,polish,portuguese,punjabi,romanian,samoan,serbian,shona,sindhi,sinhala,slovak,somali,spanish,sundanese,swahili,swedish,tajik,tamil,telugu,thai,urdu,uzbek,vietnamese,xhosa,yiddish,yoruba,zulu
إذا,եթե,əgər,bada,যদি,ako je,ако,si,ако,si,ako,hvis,se,kui,kung,jos,se,თუ,wenn,αν,જો,si,ina,אם,yog tias,ha,ef,ma ọ bụrụ na,jika,más rud é,se,もし,yen,ವೇಳೆ,егер,ប្រសិនបើ,ger,эгер,ຖ້າຫາກວ່າ,si,ja,wann,ако,raha,jika,എങ്കില്,jekk,ki te,तर,Хэрэв,यदि,که,اگر,jeśli,se,ਜੇ,dacă,ana,ако,kana,ته,නම්,ak,haddii,si,upami,kama,om,агар,என்றால்,ఉంటే,ถ้า,اگر,agar,nếu,ukuba,אויב,ti o ba ti,uma
سوف,կամք,olacaq,izango,অভিলাষ,će,ще,ho farà,ще,sarà,hoće,vil,volo,teeb,pamanahan,tahtoa,vontade,იქნება,werden,θα,કરશે,pral,makemake,יהיה,yuav,fog,mun,ekpe,akan,beidh,volontà,意志,bakal,ತಿನ್ನುವೆ,ерік,នឹង,xwestek,болот,ຈະ,voluntas,griba,wäert,ќе,ho,akan,will,se,e pai,खाईन,нь,हुनेछ,به,خواهد شد,będzie,vontade,ਕਰੇਗਾ,va,o le a,воља,chido,ٿيندو,ඇත,vôľa,dardaaran,lo hará,iyeu,mapenzi,kommer,"хоҳад,",சாப்பிடுவேன்,రెడీ,จะ,گا,bo’ladi,sẽ,uya,וועט,yoo,kuthanda
كيف,ինչպես,necə,nola,কিভাবে,kako,как,com,как,quantu,kako,hvordan,kiom,kuidas,kung paano,miten,como,როგორ,wie,πως,કેવી રીતે,ki jan,pehea,איך,ua li cas,hogyan,hvernig,otú,bagaimana,conas,come,方法,carane,ಹೇಗೆ,қалай,របៀប,çawa,кантип,ວິທີການ,quam,cik,wéi,како,ahoana,bagaimana,എങ്ങനെ,kif,pehea,कसे,хэрхэн,कसरी,څه ډول,چگونه,jak,como,ਕਿੰਨੇ,cum,auala,како,sei,ڪيئن,කොහොමද,ako,sida,cómo,kumaha,jinsi,hur,чӣ хел,எப்படி,ఎలా,วิธี,کس طرح,qanaqasiga,như thế nào,Njani,ווי,Bawo,indlela
قال,ասել,bildirib,esan,"তিনি বলেন,",", rekao je",каза,dit,каза,dissi,rekao je,sagde,diris,ütles,sinabi,sanoi,dixo,განაცხადა,sagte,είπε,"જણાવ્યું હતું કે,",te di,mai la,אמר,hais tias,mondta,sagði,kwuru,kata,dúirt,suddetto,前記,ngandika,ಹೇಳಿದರು,деді,និយាយថា:,re got:,мындай деди:,ກ່າວວ່າ,Dixitque,teica,gesot,рече,nanao hoe:,berkata,പറഞ്ഞു,qal,mea,म्हणाला,гэж хэлсэн,भने,وويل,گفت:,powiedział,disse,ਨੇ ਕਿਹਾ ਕਿ,a declarat,fai,рекао,akati,چيو,පවසයි,uvedený,ayuu yiri,dicho,ceuk,alisema,sa,гуфт:,என்றார்,అన్నాడు,กล่าวว่า,انہوں نے کہا کہ,dedi,nói,wathi,האט,wi,uthe
و,է,bir,baten,একটি,an,един,ocupat,един,un,pitaj,en,kiel,lugema,isang,pieni,unha,ითამაშეთ,ein,ένα,એક,yon,kekahi,בית,ib,egy,sem,ihe,an,ar,un,の,lan,ಒಂದು,Егер,មួយ,an,бир,ເປັນ,an,viņiem,eng,на,iray,seorang,ഒരു,l,he,एक,нь,एक,یو,پا,próba,uma,ਇੱਕ,o,se,Породица,chinhu,هڪ,ක,píla,ah,un,hiji,an,ett,як,ஒரு,ఒక,บิน,ایک,E’lonni,một,ye,אַן,ohun,an
كل,յուրաքանչյուր,hər,bakoitzak,প্রতিটি,svaka,всеки,cada,всеки,ognunu,svaki,hver,ĉiu,iga,bawat,kukin,cada,თითოეული,jeder,κάθε,દરેક,chak,kela a me keia,כל,txhua,minden,hver,ọ bụla,masing-masing,gach,ogni,それぞれ,saben,ಪ್ರತಿ,әрбір,គ្នា,herkes,ар бир,ແຕ່ລະຄົນ,quisque,katrs,all,секој,tsirairay,setiap,ഓരോ,kull,ia,प्रत्येक,тус бүр,प्रत्येक,د هر,هر,każda,cada,ਹਰ ਇੱਕ,fiecare,taʻitasi,сваки,chimwe nechimwe,هر,එක් එක්,každý,kasta,cada,unggal,kila,varje,ҳар як,ஒவ்வொரு,ప్రతి,แต่ละ,ہر ایک,har bir,môi,ngamnye,יעדער,kọọkan,ngamunye
أقول,ասել,demək,esango,বলুন,reci,кажете,dir,кажете,dì,reći,fortælle,diru,öelda,sabihin,kertoa,dicir,ვუთხრა,sagen,πείτε,કહી,di,hai aku,לספר,qhia,mondd meg,segja,ịgwa,memberitahu,insint,dire,言う,ngomong,ಹೇಳಲು,айту,ប្រាប់,gotin,айтып,ບອກ,indica,pateikt,soen,кажете,milaza,memberitahu,പറയുന്നു,tell,korero ki,सांगा,хэлэх,भन्नु,ته ووايي,بگو,powiedzieć,dizer,ਨੂੰ ਦੱਸ,spune,taʻu,рећи,udza,ٻڌايو,කියන්න,povedať,sheeg,decir,nitah,kuwaambia,berätta,"мегӯям,",சொல்ல,చెప్పండి,บอก,بتانا,aytib,nói,xelela,דערציילן,sọ fun,ukutshela
لا,մենք,yoxdur,ez du,না,radi,прави,fa,прави,ùn,radi,gør,faras,ei,gumagana,tekee,fai,ჯერ,tut,κάνει,કરે,fè,hana,עושה,puas,nem,gerir,ke,tidak,dhéanann,fa,し,ora,ಮಾಡುತ್ತದೆ,жасайды,មិន,nayê,кылат,ບໍ່,quod,nav,heescht,не,no,tidak,does,ma,meatia e,नाही,вэ,गर्छ,کوي,میکند,nie,faz,ਕਰਦਾ ਹੈ,nu,e,не,anoita,ٿو,කරන්නේ,robí,ma,hace,teu,gani,gör,кунад,இல்லை,చేస్తుంది,ไม่,کرتا ہے,qilsa,không,ntoni,טוט,wo ni,enza
مجموعة,շարք,dəst,set,সেট,set,комплект,conjunt,комплект,ghjocu,skup,sæt,aro,komplekt,hanay,setti,conxunto,კომპლექტი,Satz,σετ,સમૂહ,seri,i,סט,tso,készlet,sett,set,Kumpulan,leagtha,set,セット,pesawat,ಸೆಟ್,орнату,សំណុំ,danîn,коюлган,ທີ່ກໍານົດໄວ້,set,komplekts,formatioun,сет,napetraka,set,ഗണം,sett,huinga,संच,багц,सेट,ټولګه,مجموعه,zestaw,conjunto,ਸੈੱਟ ਹੈ,set,aotelega,Сет,seti,مقرر,කට්ටලය,sada,set,conjunto,kumpulan,kuweka,uppsättning,маҷмӯи,தொகுப்பு,సెట్,ชุด,سیٹ,to’plami,bộ,iseti,שטעלן,ṣeto,setha
ثلاثة,երեք,üç,hiru,তিন,tri,три,mar,три,tre,tri,tre,tri,kolm,tatlong,kolme,tres,სამ,drei,τρία,ત્રણ,twa,ʻekolu,שלוש,peb,három,þrír,atọ,tiga,trí,tre,個,telung,ಮೂರು,үш,បីនាក់,sê,үч,ສາມ,tribus,trīs,dräi,три,telo,tiga,മൂന്ന്,tlieta,e toru,तीन,гурван,तीन,درې,سه,trzy,três,ਤਿੰਨ,trei,tolu,три,tatu,ٽي,තුනක්,tri,saddex,tres,tilu,tatu,tre,се,மூன்று,మూడు,สาม,تین,uch,ba,Ntathu,דרייַ,mẹta,amathathu
تريد,ուզում,istəyirəm,nahi,চান,želim,искам,voler,искам,vuliti,željeti,ønsker,volas,tahad,gusto,haluta,quere,მინდა,wollen,θέλω,માંગો છો,vle,makemake,רוצה,xav,akar,vilja,chọrọ,ingin,Ba mhaith,desiderare,欲しい,pengin,ಬಯಸುವ,келеді,ចង់បាន,xwestin,каалоо,ຕ້ອງການ,volo,gribu,wëllen,сакате,te,mahu,ആഗ്രഹിക്കുന്നു,trid,hiahia,इच्छित,хүсэж байна,चाहनुहुन्छ,غواړي,می خواهم,chcą,quer,ਚਾਹੁੰਦੇ,vrea,manaʻo,Желим,chido,چاهي ٿو,අවශ්ය,chcieť,doonaysid in,querer,hayang,wanataka,vill,мехоҳанд,வேண்டும்,కావలసిన,ต้องการ,چاہتے ہیں,istaymiz,muốn,nqwenela,ווילן,fẹ,bafuna
هواء,օդի,hava,aire,বায়ু,zraka,въздух,aire,въздух,aria,zrak,luft,aero,õhk,naka,ilma,aire,საჰაერო,Luft,αέρας,હવા,lè,ea,אוויר,cua,levegő,loft,ikuku,udara,aer,aria,空気,udhara,ಗಾಳಿ,ауа,ខ្យល់,hewa,аба,ອາກາດ,"aer,",gaisa,loft,воздух,rivotra,udara,എയർ,arja,hau,हवा,агаар,हावा,د هوا,هوا,powietrze,ar,ਹਵਾ,aer,savili,аир,mhepo,هوائي,ගුවන්,vzduch,hawada,aire,hawa,hewa,luft,ҳаво,காற்று,గాలి,อากาศ,ہوا,havo,không khí,umoya,לופט,air,air
جيد,լավ,quyu,ondo,ভাল,dobro,добре,bé,добре,bè,dobro,godt,bone,hästi,na rin,hyvin,ben,კარგად,gut,καλά,સાથે સાથે,byen,pono,גם,zoo,jól,vel,ọma,baik,go maith,bene,よく,uga,ಹಾಗೂ,жақсы,ល្អ,baş,жакшы,ດີ,etiam,labi,gutt,добро,tsara,baik,കിണറ്,ukoll,pai,तसेच,сайн,राम्रो,ښه,به خوبی,dobrze,bem,ਨਾਲ ਨਾਲ,bine,lelei,добро,tsime,چڱي,හොඳින්,dobre,sidoo,así,sumur,vizuri,väl,хуб,அதே,బాగా,ดี,اچھی طرح سے,yaxshi,cũng,kakuhle,געזונט,daradara,kahle
أيضا,նույնպես,də,halaber,এছাড়াও,također,също,també,също,ancu,također,også,ankaŭ,Samuti,ring,myös,tamén,ასევე,auch,"επίσης,",પણ,tou,no hoi,גם,kuj,is,einnig,na-,juga,freisin,anche,また,uga,ಸಹ,"Сондай-ақ,",ក៏,jî,дагы,ຍັງ,etiam,arī,och,"исто така,",koa,juga,പുറമേ,wkoll,hoki,देखील,мөн,पनि,هم,همچنین,również,também,ਇਹ ਵੀ,"De asemenea,",foʻi,такође,wo,به,ද,tiež,sidoo kale,también,oge,pia,också,ҳамчунин,"மேலும்,",కూడా,ด้วย,بھی,shuningdek,cũng,ngokunjalo,אויך,tun,futhi
لعب,խաղալ,oynamaq,jolastu,খেলা,igrati,играе,jugar,играе,ghjucà,igrati,spille,ludos,mängida,maglaro,pelata,xogar,ითამაშეთ,spielen,παιχνίδι,રમવા,jwe,paani,לשחק,ua si,játék,spila,igwu egwu,bermain,imirt,giocare,遊ぶ,muter,ಆಡಲು,ойын,លេង,bazî,ойноо,ຫຼິ້ນ,fabula,play,leeschtung,игра,milalao,bermain,കളി,play,te tākaro,प्ले,тоглох,खेल,ولوبوي,بازی,grać,jogar,ਖੇਡਣ,juca,taaalo,плаи,tamba,راند,නාට්යයේ,hrať,ciyaaro,jugar,ulin,kucheza,spela,бозӣ,விளையாட,ప్లే,เล่น,ادا,o’yin,chơi,umdlalo,שפּילן,mu ṣiṣẹ,udlale
صغير,փոքր,kiçik,txiki,ছোট,male,малък,petit,малък,picculu,mali,lille,malgranda,väike,maliit,pieni,pequeno,პატარა,klein,μικρό,નાના,ti,uuku,קטן,me me,kicsi,lítil,obere,kecil,beag,piccolo,小さい,cilik,ಸಣ್ಣ,кішкентай,តូច,biçûk,кичине,ຂະຫນາດນ້ອຍ,parva,mazs,kleng,мали,kely,kecil,ചെറിയ,żgħir,iti,लहान,жижиг,साना,د وړو,کوچک,mały,pequeno,ਛੋਟੇ ਛੋਟੇ,mic,laʻitiiti,мала,diki,ننڍي,කුඩා,malé,yar,pequeño,leutik,ndogo,liten,майда,சிறு,చిన్న,ขนาดเล็ก,چھوٹے,kichkina,nhỏ,amancinane,קליין,kekere,amancane
نهاية,վերջ,son,end,শেষ,kraj,край,fi,край,fini,kraj,ende,fino,lõpuks,pagtatapos,pää,fin,ბოლოს,Ende,τέλος,અંત,fen,hopena,סוף,kawg,end,enda,njedebe,end,deireadh,fine,終わり,mburi,ಕೊನೆಯಲ್ಲಿ,соңы,ចុងបញ្ចប់,dawî,Бир мезгилдин акырына карата,ໃນຕອນທ້າຍ,finem,beigas,enn,крајот,tapitra,akhir,അവസാനിക്കുന്നു,aħħar,mutunga,शेवट,эцсийн,अन्त,پای,پایان,koniec,fim,ਅੰਤ ਵਿੱਚ,capăt,faaiuga,крај,magumo,آخر ۾,අවසානය,koniec,dhamaadka,fin,tungtung,mwisho,ände,поён,இறுதியில்,ముగింపు,ปลาย,آخر,oxiri,cuối,isiphelo,עק,opin,Ukuphela
وضع,ի,qoymaq,jarri,করা,put,постави,posar,постави,mintiri,staviti,sætte,metita,pane,ilagay,laittaa,poñer,მა,setzen,που,મૂકી,mete,kau,לשים,muab tso rau,tesz,setja,tinye,menempatkan,chur,mettere,置く,sijine,ಪುಟ್,қою,ដាក់,raxistan,коюу,ເອົາໃຈໃສ່,posuit,likts,no,стави,mametraka,meletakkan,ഇടുക,tpoġġi,maka,ठेवले,тавих,डाल,کړي,قرار دادن,wkładać,colocar,ਪਾ,pune,tuʻu,пут,isa,وجهي,Put,dať,dhigay,poner,neundeun,kuweka,sätta,гузошта,வைத்து,చాలు,ใส่,ڈال,qo’yish,đặt,beka,שטעלן,fi,abeke
المنزل,տուն,ev,hasiera,হোম,Početna,Начало,casa,Начало,casa,Početna,hjem,hejmo,kodu,tahanan,koti,casa,მთავარი,Zuhause,σπίτι,ઘર,lakay,ka hale,בית,tsev,otthon,heim,n’ụlọ,rumah,baile,casa,ホーム,ngarep,ಮನೆ,үй,ផ្ទះ,xane,үй,ເຮືອນ,domum,mājas,doheem,дома,an-trano,rumah,വീട്,domiċilju,te kāinga,मुख्य पान,Нүүр хуудас,घर,کور,خانه,Strona główna,casa,ਘਰ ਦੇ,home,aiga,дом,musha,گهر,මුල් පිටුව,domáce,guriga,casa,imah,nyumbani,hem,хона,வீட்டில்,హోమ్,บ้าน,گھر,uy,nhà,ikhaya,היים,ile,Ikhaya
قرأ,կարդալ,oxumaq,irakurri,পড়া,čitati,Прочети,llegir,Прочети,leghje,pročitati,læse,legi,lugema,basahin,lue,ler,წაკითხული,lesen,διαβάστε,વાંચો,li,heluhelu mai o,לקרוא,nyeem,olvas,lesa,na-agụ,baca,léamh,leggere,読む,maca,ಓದಲು,оқу,អាន,xwendin,окуу,ອ່ານ,lego,lasīt,liesen,чита,vakio,membaca,വായിക്കുക,aqra,tai’o,वाचा,уншсан,पढ्न,پاتې برخه,بهعنوان,czytaj,ler,ਨੂੰ ਪੜ੍ਹ,citeste,faitau,прочитајте,verenga,پڙهڻ,කියවන්න,čítať,akhriyi,leer,maca,kusoma,läsa,хондан,படிக்க,చదవడానికి,อ่าน,پڑھیں,o’qish,đọc,funda,לייענען,ka,funda
يد,ձեռք,əl,eskuko,হাত,ruku,ръка,mà,ръка,manu,ruka,hånd,manoj,käsi,kamay,käsi,man,ხელი,seits,χέρι,હાથ,men,lima,יד,tes,kézi,hönd,aka,tangan,lámh,mano,手,tangan,ಕೈ,қол,ដៃ,dest,кол,ມື,manibus,roku,dem,страна,tanana,tangan,കൈ,idejn,ringa,हात,гар,हात,د لاس,دست,ręka,mão,ਦਾ ਹੱਥ,mână,lima,рука,ruoko,هٿ,අත,ručné,gacanta,mano,panangan,mkono,sidan,даст,கையில்,చేతి,มือ,ہاتھ,qo’l,tay,isandla,האַנט,ọwọ,Isandla
ميناء,նավահանգիստ,port,portuko,পোর্ট,port,порт,port,порт,portu,luka,havn,port,port,port,portti,port,პორტი,Hafen,λιμάνι,પોર્ટ,pò,ke awa,נמל,chaw nres nkoj,porton,höfn,ọdụ ụgbọ mmiri,pelabuhan,calafoirt,porto,ポート,port,ಬಂದರು,порт,កំពង់ផែ,bender,порт,ທີ່,"portus,",port,port,порт,seranan-tsambo,pelabuhan,തുറമുഖം,port,tauranga,पोर्ट,порт,पोर्ट,بندر,بندر,port,port,ਪੋਰਟ ਨੂੰ,portul,tāulaga,Порт,poti,پورٽ,වරාය,prístav,dekedda,puerto,palabuhan,bandari,port,бандаргоҳ,துறைமுக,పోర్ట్,พอร์ต,پورٹ,port,cổng,izibuko,פּאָרט,ibudo,echwebeni
كبير,մեծ,böyük,handi,বড়,velike,голям,gran,голям,grossu,veliki,stor,granda,suur,malaki,suuri,gran,დიდი,groß,μεγάλες,મોટા,gwo,nui,גדול,loj,nagy,stór,nnukwu,besar,mór,grande,大きい,gedhe,ದೊಡ್ಡ,үлкен,ដែលមានទំហំធំ,mezin,чоң,ຂະຫນາດໃຫຍ່,magna,liels,grouss,голем,lehibe,besar,വലിയ,kbir,nui,मोठ्या,их хэмжээний,ठूलो,لوی,بزرگ,duży,grande,ਵੱਡੇ,mare,tele,велика,guru,وڏي,විශාල,veľký,waaweyn,grande,gede,kubwa,stor,калон,பெரிய,పెద్ద,ที่มีขนาดใหญ่,بڑے,katta,lớn,ezinkulu,גרויס,tobi,ende
تهجى,տառ առ տառ ասել,sehr,ortografia,বানান,piše,правописа,lletrejar,правописа,scriviri,čarolija,stave,literumi,õigekirja,oras ng paggawa,oikeinkirjoituksen,deletrear,სიტყვიერად,buchstabieren,σημάνει,જોડણી,eple,wale,לאיית,yees siv,varázslat,stafa,asụpe,mantra,litriú,compitare,スペル,Nulis,ಕಾಗುಣಿತ,емле,អក្ខរាវិរុទ្ធ,sihêr,сыйкырлоо,ການສະກົດຄໍາ,eamque,pareizrakstības,heimatt,магија,tsipelina,mengeja,അക്ഷരപ്പിശക്,jespliċitaw,takikupu,शब्दलेखन,ид шид,हिज्जे,په ډاګه,طلسم,zaklęcie,soletrar,ਜੋੜ,scrie,feʻau faʻataulāitu,спелл,mushinhiriro,ڪيلن مان,අක්ෂර වින්යාස,kúzlo,muddo,deletrear,ngejah,Spell,stava,насабатонро,எழுத்துப்பிழை,అక్షరక్రమ,สะกด,جادو,sehr,chính tả,pela,רעגע,sipeli,luzosho
إضافة,ավելացնել,əlavə etmək,gehitu,যোগ করা,dodati,добави,afegir,добави,aggiungere,dodajte,tilføje,aldoni,lisada,magdagdag,lisätä,engadir,რჩეულებში,hinzufügen,προσθέσετε,ઉમેરો,ajoute,hui,להוסיף,ntxiv,hozzáad,bæta,tinye,tambahkan,cuir,aggiungere,加える,nambah,ಸೇರಿಸಬಹುದು,қосу,បន្ថែម,lêzêdekirin,кошуу,ເພີ່ມ,addunt,pievienot,derbäi,додадете,ampio,menambah,ചേർക്കുക,żid,tāpiri i,जोडा,нэмэх,जोड,اضافه,اضافه,dodać,adicionar,ਸ਼ਾਮਿਲ,adăuga,faʻaopoopo,адд,wedzera,شامل,එකතු,pridať,ku dar,añadir,nambah,kuongeza,lägg,илова кардан,சேர்க்க,జోడించండి,เพิ่ม,شامل,kiritish,thêm,ukongeza,לייגן,fi,ukwengeza
حتى,նույնիսկ,hətta,are,এমনকি,čak i,още,fins i tot,още,mancu,još,selv,eĉ,isegi,kahit na,jopa,mesmo,კი,auch,ακόμη,પણ,menm,a hiki,אפילו,txawm,még,jafnvel,ọbụna,bahkan,fiú,anche,さらに,malah,ಸಹ,тіпті,សូម្បីតែ,hetta,"ал тургай,",ເຖິງແມ່ນວ່າ,etiam,pat,souguer,дури и,na dia,walaupun,പോലും,anke,ara,अगदी,тэр ч байтугай,पनि,آن,حتی,nawet,mesmo,ਵੀ,chiar,e oo lava i,чак,kunyange,به,පවා,dokonca,xataa,incluso,oge,hata,även,ҳатто,கூட,కూడా,แม้กระทั่ง,بھی,hatto,thậm chí,nokuba,אפילו,ani,yebo
الأرض,երկիր,torpaq,lurrak,জমি,zemljišta,земя,terra,земя,paese,zemljište,jord,lando,maa,lupa,maa,terra,მიწის,Lande,γη,જમીન,peyi,aina,ארץ,av,föld,landið,ala,tanah,talamh,terra,土地,tanah,ಭೂಮಿ,жер,ដី,welat,жер,ທີ່ດິນ,"terra,",zeme,land,земјиште,tany,tanah,നിലം,art,te whenua,जमीन,газар,भूमि,د ځمکې,زمین,ziemia,terra,ਜ਼ਮੀਨ ਦੀ,teren,fanua,Ланд,munda,ملڪ,ඉඩම්,krajiny,dhulka,tierra,tanah,ardhi,mark,замин,நில,భూమి,ที่ดิน,ملک,er,đất,umhlaba,לאַנד,ilẹ,Izwe
هنا,այստեղ,burada,hemen,এখানে,ovdje,тук,aquí,тук,ccà,ovdje,her,tien,siin,dito,täällä,aquí,აქ,hier,εδώ,અહીં,isit la,maanei,כאן,nyob ntawm no,itt,hér,ebe a,di sini,anseo,qui,ここに,kene,ಇಲ್ಲಿ,мұнда,នៅទីនេះ,vir,бул жерде,ທີ່ນີ້,hic,šeit,hei,тука,eto,di sini,ഇവിടെ,hawn,i konei,येथे,энд,यहाँ,دلته,اینجا,tutaj,aqui,ਇਥੇ,aici,iinei,овде,pano,هتي,මෙතැන,tu,halkan,aquí,ieuh,hapa,här,ин ҷо,இங்கே,ఇక్కడ,ที่นี่,یہاں,bu yerga,ở đây,Apha,דאָ,nibi,lapha
